"UMC","retrieval_date","euctr_name","total_unreported","total_reported","total_due","not_yet_due_trials","inconsistent_trials","total_trials"
"Homburg","2021-04-01","saarland-university",2,0,2,8,0,10
"Schleswig-Holstein","2021-04-01","schleswig-holstein-university-hospital",9,0,9,15,5,29
"TU-München","2021-04-01","technical-university-of-munich",3,28,31,25,11,67
"Rostock","2021-04-01","universitat-rostock",1,0,1,2,0,3
"Duisburg-Essen","2021-04-01","university-duisburg-essen",12,1,13,15,5,33
"Erlangen","2021-04-01","university-erlangen-nuremberg",10,14,24,31,3,58
"Tübingen","2021-04-01","university-hospital-tubingen",14,3,17,37,8,62
"Bonn","2021-04-01","university-of-bonn",14,0,14,9,4,27
"Köln","2021-04-01","university-of-cologne",8,28,36,30,6,72
"Freiburg","2021-04-01","university-of-freiburg",5,15,20,27,2,49
"Giessen","2021-04-01","university-of-giessen",2,1,3,5,2,10
"Göttingen","2021-04-01","university-of-gottingen",10,5,15,6,3,24
"Hamburg","2021-04-01","university-of-hamburg",10,9,19,28,3,50
"LMU-München","2021-04-01","university-of-munich-ludwig-maximilians",32,5,37,36,5,78
"Münster","2021-04-01","university-of-munster",5,17,22,11,3,36
"Regensburg","2021-04-01","university-of-regensburg",7,2,9,14,5,28
"Ulm","2021-04-01","university-of-ulm",7,8,15,26,4,45
"Witten/Herdecke","2021-04-01","university-of-wittenherdecke",0,0,0,5,1,6
"Mannheim","2021-05-04","central-institute-of-mental-health-in-mannheim",1,0,1,9,0,10
"Berlin","2021-05-04","charite-universitatsmedizin-berlin",34,46,80,77,41,198
"Dresden","2021-05-04","dresden-university-of-technology",6,16,22,21,5,48
"Jena","2021-05-04","friedrich-schiller-university-jena",4,4,8,10,3,21
"Frankfurt","2021-05-04","goethe-university",10,1,11,31,3,45
"Hannover","2021-05-04","hannover-medical-school",25,6,31,9,14,54
"Heidelberg","2021-05-04","heidelberg-university-hospital",10,20,30,25,5,60
"Düsseldorf","2021-05-04","heinrich-heine-university-dusseldorf",1,4,5,4,4,13
"Mainz","2021-05-04","johannes-gutenberg-university-of-mainz",17,13,30,13,7,50
"Würzburg","2021-05-04","julius-maximilian-university-of-wurzburg",7,1,8,13,6,27
"Leipzig","2021-05-04","leipzig-university",3,23,26,10,2,38
"Halle-Wittenberg","2021-05-04","martin-luther-university-halle-wittenberg",11,1,12,15,3,30
"Greifswald","2021-05-04","medical-university-greifswald",0,0,0,5,2,7
"Magdeburg","2021-05-04","otto-von-guericke-university-magdeburg",0,9,9,8,7,24
"Marburg","2021-05-04","philipps-university-marburg",3,4,7,7,3,17
"Bochum","2021-05-04","ruhr-university-bochum",4,0,4,10,1,15
"Aachen","2021-05-04","rwth-aachen-university",13,2,15,19,11,45
"Homburg","2021-05-04","saarland-university",2,0,2,8,0,10
"Schleswig-Holstein","2021-05-04","schleswig-holstein-university-hospital",9,0,9,15,5,29
"TU-München","2021-05-04","technical-university-of-munich",2,30,32,24,11,67
"Rostock","2021-05-04","universitat-rostock",1,0,1,2,0,3
"Duisburg-Essen","2021-05-04","university-duisburg-essen",12,1,13,16,5,34
"Erlangen","2021-05-04","university-erlangen-nuremberg",10,14,24,31,3,58
"Tübingen","2021-05-04","university-hospital-tubingen",14,3,17,37,8,62
"Bonn","2021-05-04","university-of-bonn",14,0,14,9,4,27
"Köln","2021-05-04","university-of-cologne",7,30,37,30,5,72
"Freiburg","2021-05-04","university-of-freiburg",6,15,21,26,2,49
"Giessen","2021-05-04","university-of-giessen",2,1,3,5,2,10
"Göttingen","2021-05-04","university-of-gottingen",11,5,16,6,3,25
"Hamburg","2021-05-04","university-of-hamburg",10,11,21,28,2,51
"LMU-München","2021-05-04","university-of-munich-ludwig-maximilians",35,5,40,33,5,78
"Münster","2021-05-04","university-of-munster",5,17,22,11,3,36
"Regensburg","2021-05-04","university-of-regensburg",8,2,10,13,5,28
"Ulm","2021-05-04","university-of-ulm",7,8,15,26,4,45
"Witten/Herdecke","2021-05-04","university-of-wittenherdecke",0,0,0,5,1,6
"Mannheim","2021-06-02","central-institute-of-mental-health-in-mannheim",0,0,0,4,0,4
"Berlin","2021-06-02","charite-universitatsmedizin-berlin",11,22,33,30,9,72
"Dresden","2021-06-02","dresden-university-of-technology",2,4,6,7,2,15
"Jena","2021-06-02","friedrich-schiller-university-jena",3,2,5,2,1,8
"Frankfurt","2021-06-02","goethe-university",5,1,6,10,2,18
"Hannover","2021-06-02","hannover-medical-school",14,3,17,3,5,25
"Heidelberg","2021-06-02","heidelberg-university-hospital",5,7,12,7,2,21
"Düsseldorf","2021-06-02","heinrich-heine-university-dusseldorf",0,0,0,1,1,2
"Mainz","2021-06-02","johannes-gutenberg-university-of-mainz",7,5,12,4,2,18
"Würzburg","2021-06-02","julius-maximilian-university-of-wurzburg",4,1,5,6,1,12
"Leipzig","2021-06-02","leipzig-university",2,6,8,4,0,12
"Halle-Wittenberg","2021-06-02","martin-luther-university-halle-wittenberg",4,0,4,4,2,10
"Greifswald","2021-06-02","medical-university-greifswald",0,0,0,4,1,5
"Magdeburg","2021-06-02","otto-von-guericke-university-magdeburg",0,0,0,1,1,2
"Marburg","2021-06-02","philipps-university-marburg",1,1,2,1,1,4
"Bochum","2021-06-02","ruhr-university-bochum",2,0,2,3,1,6
"Aachen","2021-06-02","rwth-aachen-university",3,0,3,10,3,16
"Homburg","2021-06-02","saarland-university",0,0,0,1,0,1
"Schleswig-Holstein","2021-06-02","schleswig-holstein-university-hospital",3,0,3,6,2,11
"TU-München","2021-06-02","technical-university-of-munich",1,10,11,6,4,21
"Rostock","2021-06-02","universitat-rostock",1,0,1,2,0,3
"Duisburg-Essen","2021-06-02","university-duisburg-essen",2,0,2,8,2,12
"Erlangen","2021-06-02","university-erlangen-nuremberg",5,5,10,9,1,20
"Tübingen","2021-06-02","university-hospital-tubingen",5,0,5,15,3,23
"Bonn","2021-06-02","university-of-bonn",4,0,4,1,1,6
"Köln","2021-06-02","university-of-cologne",2,12,14,10,0,24
"Freiburg","2021-06-02","university-of-freiburg",3,4,7,9,1,17
"Giessen","2021-06-02","university-of-giessen",1,1,2,2,0,4
"Göttingen","2021-06-02","university-of-gottingen",4,1,5,3,2,10
"Hamburg","2021-06-02","university-of-hamburg",2,3,5,14,2,21
"LMU-München","2021-06-02","university-of-munich-ludwig-maximilians",13,2,15,12,2,29
"Münster","2021-06-02","university-of-munster",3,8,11,3,0,14
"Regensburg","2021-06-02","university-of-regensburg",3,1,4,2,0,6
"Ulm","2021-06-02","university-of-ulm",1,5,6,10,1,17
"Witten/Herdecke","2021-06-02","university-of-wittenherdecke",0,0,0,2,1,3
"Mannheim","2021-06-03","central-institute-of-mental-health-in-mannheim",1,0,1,9,0,10
"Berlin","2021-06-03","charite-universitatsmedizin-berlin",34,46,80,77,41,198
"Dresden","2021-06-03","dresden-university-of-technology",6,16,22,21,5,48
"Jena","2021-06-03","friedrich-schiller-university-jena",4,4,8,10,3,21
"Frankfurt","2021-06-03","goethe-university",10,1,11,31,3,45
"Hannover","2021-06-03","hannover-medical-school",25,6,31,9,14,54
"Heidelberg","2021-06-03","heidelberg-university-hospital",10,20,30,25,5,60
"Düsseldorf","2021-06-03","heinrich-heine-university-dusseldorf",1,4,5,4,4,13
"Mainz","2021-06-03","johannes-gutenberg-university-of-mainz",17,13,30,13,7,50
"Würzburg","2021-06-03","julius-maximilian-university-of-wurzburg",7,1,8,13,6,27
"Leipzig","2021-06-03","leipzig-university",3,23,26,10,2,38
"Halle-Wittenberg","2021-06-03","martin-luther-university-halle-wittenberg",11,1,12,15,3,30
"Greifswald","2021-06-03","medical-university-greifswald",0,0,0,5,2,7
"Magdeburg","2021-06-03","otto-von-guericke-university-magdeburg",0,9,9,8,7,24
"Marburg","2021-06-03","philipps-university-marburg",3,4,7,7,3,17
"Bochum","2021-06-03","ruhr-university-bochum",4,0,4,10,1,15
"Aachen","2021-06-03","rwth-aachen-university",13,2,15,19,11,45
"Homburg","2021-06-03","saarland-university",2,0,2,8,0,10
"Schleswig-Holstein","2021-06-03","schleswig-holstein-university-hospital",9,0,9,15,5,29
"TU-München","2021-06-03","technical-university-of-munich",2,30,32,24,11,67
"Rostock","2021-06-03","universitat-rostock",1,0,1,2,0,3
"Duisburg-Essen","2021-06-03","university-duisburg-essen",12,1,13,16,5,34
"Erlangen","2021-06-03","university-erlangen-nuremberg",10,14,24,31,3,58
"Tübingen","2021-06-03","university-hospital-tubingen",14,3,17,37,8,62
"Bonn","2021-06-03","university-of-bonn",14,0,14,9,4,27
"Köln","2021-06-03","university-of-cologne",7,30,37,30,5,72
"Freiburg","2021-06-03","university-of-freiburg",6,15,21,26,2,49
"Giessen","2021-06-03","university-of-giessen",2,1,3,5,2,10
"Göttingen","2021-06-03","university-of-gottingen",11,5,16,6,3,25
"Hamburg","2021-06-03","university-of-hamburg",10,11,21,28,2,51
"LMU-München","2021-06-03","university-of-munich-ludwig-maximilians",35,5,40,33,5,78
"Münster","2021-06-03","university-of-munster",5,17,22,11,3,36
"Regensburg","2021-06-03","university-of-regensburg",8,2,10,13,5,28
"Ulm","2021-06-03","university-of-ulm",7,8,15,26,4,45
"Witten/Herdecke","2021-06-03","university-of-wittenherdecke",0,0,0,5,1,6
"Mannheim","2021-06-06","central-institute-of-mental-health-in-mannheim",1,0,1,9,0,10
"Berlin","2021-06-06","charite-universitatsmedizin-berlin",31,50,81,80,40,201
"Dresden","2021-06-06","dresden-university-of-technology",7,17,24,19,5,48
"Jena","2021-06-06","friedrich-schiller-university-jena",4,4,8,11,3,22
"Frankfurt","2021-06-06","goethe-university",10,1,11,31,3,45
"Hannover","2021-06-06","hannover-medical-school",25,6,31,9,14,54
"Heidelberg","2021-06-06","heidelberg-university-hospital",10,20,30,25,5,60
"Düsseldorf","2021-06-06","heinrich-heine-university-dusseldorf",1,4,5,4,4,13
"Mainz","2021-06-06","johannes-gutenberg-university-of-mainz",16,14,30,13,7,50
"Würzburg","2021-06-06","julius-maximilian-university-of-wurzburg",6,2,8,13,6,27
"Leipzig","2021-06-06","leipzig-university",3,23,26,10,2,38
